chr	start	end	strand	cytoband	Ensembl gene ID	hugo	copy category	copy change	avg cna	avg cna by gene	breakpoint	manually curated homd	loh	loh_ratio	intepreted expression status	RPKM	SARC percentile	SARC kIQR	FC mean Bodymap	avg TCGA percentile	avg TCGA kIQR	avg TCGA norm percentile	avg TCGA norm kIQR	UCEC norm percentile	UCEC norm kIQR	cancer gene type
18	5954705	6415236	-1	p11.31	ENSG00000154655	L3MBTL4	Neutral	0	0.01	0.01	0	0	HET	0.52		0.18	19	-0.44	-1.69	17	-0.43	0	-1.03	0	-1.83	putative tumour suppressor
7	31790793	32338941	-1	p14.3	ENSG00000154678	PDE1C	Neutral	0	0.01	0.01	0	0	HET	0.49		1.21	61	0.27	-2.2	90	3.55	74	0.62	75	1.33	
7	66205720	66276423	1	q11.21	ENSG00000154710	RABGEF1	Neutral	0	0.01	0.01	0	0	HET	0.53		7.41	45	-0.13	-1.37	41	-0.15	34	-0.33	17	-1.18	
21	26957968	26979829	-1	q21.3	ENSG00000154719	MRPL39	Neutral	0	0.01	0.03	0	0	HET	0.55		11.35	35	-0.23	-1.86	26	-0.4	23	-0.48	17	-0.59	
21	27011584	27089874	1	q21.3	ENSG00000154721	JAM2	Neutral	0	0.01	0.02	0	0	HET	0.49		8.42	62	0.28	-1.11	86	1.5	55	0.12	12	-0.92	
21	27088815	27107984	-1	q21.3	ENSG00000154723	ATP5J	Neutral	0	0.01	0.04	0	0	HET	0.47		44.26	19	-0.65	-1.37	21	-0.47	19	-0.5	0	-2.22	
21	27106881	27144771	1	q21.3	ENSG00000154727	GABPA	Neutral	0	0.01	0.03	0	0	HET	0.44		11.16	88	1.2	-1.06	89	1.1	79	0.68	58	0.27	
21	28208606	28217728	-1	q21.3	ENSG00000154734	ADAMTS1	Neutral	0	0.01	0.04	0	0	HET	0.54		33.21	56	0.14	-1.37	89	1.86	60	0.17	25	-0.46	
21	28290231	28338832	-1	q21.3	ENSG00000154736	ADAMTS5	Neutral	0	0.01	0.04	0	0	HET	0.51		20.66	83	1.76	3.2	99	18.42	99	6.58	96	1.41	
3	12525931	12581122	1	p25.2	ENSG00000154743	TSEN2	Neutral	0	0.01	0.04	0	0	HET	0.57		2.75	86	1	1.39	71	0.43	91	1.07	38	-0.26	
17	33762115	33775856	-1	q12	ENSG00000154760	SLFN13	Neutral	0	0.02	-0.05	0	0	HET	0.5		0.45	31	-0.19	-1.62	28	-0.32	15	-0.56	12	-0.7	
3	13857755	13921618	-1	p25.1	ENSG00000154764	WNT7A	Neutral	0	0.01	0.03	0	0	HET	0.51		0.01	63	0.66	-1.18	29	-0.04	22	-0.1	8	-0.42	
3	14186647	14220283	-1	p25.1	ENSG00000154767	XPC	Neutral	0	0.01	0.07	0	0	HET	0.54		18.02	73	0.49	1.7	77	0.61	57	0.12	33	-0.19	tumour suppressor
17	34087916	34092098	1	q12	ENSG00000154768	C17orf50	Neutral	0	0.02	0.05	0	0	HET	0.39		0			-2.04							
3	14693271	14714166	1	p25.1	ENSG00000154781	CCDC174	Neutral	0	0.01	-0.01	0	0	HET	0.5		7.46	72	0.42	1	77	0.58	81	0.73	21	-0.74	
3	14860469	14975895	1	p25.1	ENSG00000154783	FGD5	Neutral	0	0.01	0.03	0	0	HET	0.51		8.69	69	0.41	1.56	89	1.83	62	0.27	38	-0.18	
17	17115526	17140502	-1	p11.2	ENSG00000154803	FLCN	Neutral	0	0.02	0.04	0	0	HET	0.5		8.18	47	-0.05	1.94	79	0.7	81	0.79	83	1.08	putative tumour suppressor
3	16299485	16306479	-1	p25.1	ENSG00000154813	DPH3	Neutral	0	0.01	0.12	0	0	HET	0.55		12.54	90	1.14	1.01	96	2.03	96	1.4	100	1.71	
3	16306706	16378822	1	p25.1	ENSG00000154814	OXNAD1	Neutral	0	0.01	0.05	0	0	HET	0.43		1.71	25	-0.39	-1.57	13	-0.64	10	-0.55	58	0.38	
3	16844159	17132086	1	p24.3	ENSG00000154822	PLCL2	Neutral	0	0.01	0	0	0	HET	0.51		2.34	35	-0.26	-3.24	60	0.2	35	-0.2	38	-0.48	
18	47808713	47814674	-1	q21.1	ENSG00000154832	CXXC1	Neutral	0	0.01	0	0	0	HET	0.53		11.17	22	-0.53	1.69	33	-0.3	45	-0.09	0	-1.44	
18	47901365	47920543	1	q21.1	ENSG00000154839	SKA1	Neutral	0	0.01	0.04	0	0	HET	0.52		0.25	1	-0.7	-1.15	13	-0.46	66	0.27	67	0.52	
5	140213969	140391929	1	q31.3	ENSG00000204963	PCDHA7	Neutral	0	0.01	0	0	0	HET	0.53	up	6.75	100	32.66	2.1	98	30.86	100	49.67	100	50.61	
18	10454625	10488698	1	p11.22	ENSG00000154856	APCDD1	Neutral	0	0.01	0.01	0	0	HET	0.55		13.75	58	0.16	1.77	66	0.35	57	0.12	4	-0.37	
18	10666480	11148587	-1	p11.21	ENSG00000154864	PIEZO2	Neutral	0	0.01	0.02	0	0	HET	0.51		1.13	46	-0.06	1.26	80	1.04	84	1.12	100	6	
5	140220907	140391929	1	q31.3	ENSG00000204962	PCDHA8	Neutral	0	0.01	0	0	0	HET	0.53	up	6.62	100	141.92	2.1	98	81.94	100	163.35	100	119.73	
17	9548015	9633001	1	p13.1	ENSG00000154914	USP43	Neutral	0	0.02	0.03	0	0	HET	0.52		0.03	55	0.04	-1.42	6	-0.7	4	-0.88	8	-0.56	
3	133543083	133614680	-1	q22.1	ENSG00000154917	RAB6B	Neutral	0	0.01	0.03	0	0	HET	0.47		4.35	77	0.71	-1.76	68	0.41	82	0.84	79	0.96	
17	48450581	48458844	1	q21.33	ENSG00000154920	EME1	Neutral	0	0.02	0.06	0	0	HET	0.45		2.5	8	-0.66	1.05	24	-0.4	90	1.47	83	1.15	
3	134316643	134979309	1	q22.2	ENSG00000154928	EPHB1	Neutral	0	0.01	0.02	0	0	HET	0.51		2	70	0.48	1.21	81	1.46	73	0.63	88	1.85	
20	24986868	25039616	-1	p11.21	ENSG00000154930	ACSS1	Neutral	0	0.02	0.04	0	0	HET	0.57		3.03	41	-0.15	-1.3	20	-0.48	13	-0.75	0	-1.82	
17	48770551	48785285	-1	q21.33	ENSG00000154945	ANKRD40	Neutral	0	0.02	0.02	0	0	HET	0.47		18.73	58	0.21	-1.56	75	0.58	66	0.31	54	0.12	
17	11880762	11900827	-1	p12	ENSG00000154957	ZNF18	Neutral	0	0.02	0.01	0	0	HET	0.55		3.92	46	-0.06	1.23	69	0.38	90	0.98	75	0.52	
17	49707674	50237377	-1	q22	ENSG00000154975	CA10	Neutral	0	0.02	0.03	0	0	HET	0.5		0	52	0.01	-1.86	48	-0.01	25	-0.15	12	-0.34	
7	55503749	55640681	-1	p11.2	ENSG00000154978	VOPP1	Neutral	0	0.01	0.04	0	0	HET	0.57		8.68	9	-0.7	1.18	17	-0.61	34	-0.34	0	-1.37	
7	55861237	55930482	-1	p11.2	ENSG00000154997	SEPT14	Neutral	0	0.01	-0.02	0	0	HET	0.4		0	44		-1.89	38		46		46		
X	84258832	84343069	1	q21.1	ENSG00000155008	APOOL	Gain	1	0.25	0.27	0	0	HET	0.55		2.41	80	0.74	-1.78	55	0.09	38	-0.18	96	2.85	
5	140306302	140391929	1	q31.3	ENSG00000248383	PCDHAC1	Neutral	0	0.01	0	0	0	HET	0.55	up	6.09	100	41.47	2.06	98	25.38	100	28.9	100	63.57	
4	108852525	108874613	1	q25	ENSG00000155016	CYP2U1	Neutral	0	0.01	0	0	0	HET	0.56		4.94	68	0.4	1.15	81	0.97	72	0.44	42	-0.2	
7	5965177	6010314	-1	p22.1	ENSG00000155026	RSPH10B	Neutral	0	0.01	0.02	0	0	HET	0.49		0.88			-1.14	1	-0.51					
7	5470966	5553429	-1	p22.1	ENSG00000155034	FBXL18	Neutral	0	0.01	0	0	0	HET	0.72		1.39	15	-0.65	1.52	20	-0.51	27	-0.46	54	0.11	
2	124782864	125672864	1	q14.3	ENSG00000155052	CNTNAP5	Neutral	0	0.02	0.02	0	0	HET	0.51		0.01	80	1.72	-1.23	67	0.38	70	0.57	100	inf	
2	95940201	95957056	1	q11.1	ENSG00000155066	PROM2	Neutral	0	0.02	0.01	0	0	HET	0.48		0.26	73	0.56	-2.43	28	-0.31	12	-0.58	12	-0.5	
6	109814059	110012420	-1	q21	ENSG00000155085	AK9	Neutral	0	0.01	0.03	0	0	HET	0.41		0.63	68	0.43	-1.42	55	0.1	43	-0.12	50	0.03	
8	103563800	103573245	1	q22.3	ENSG00000155087	ODF1	Neutral	0	0.02	-0.04	0	0	HET	0.48		0	37	0	-8.37	40		42		35	0	
8	103661007	103668130	-1	q22.3	ENSG00000155090	KLF10	Neutral	0	0.02	0.05	0	0	HET	0.49		28.11	77	0.59	1.08	74	0.55	40	-0.2	58	0.2	putative tumour suppressor
7	157331750	158380480	-1	q36.3	ENSG00000155093	PTPRN2	Neutral	0	0.01	0.02	0	0	HET	0.5		2.07	61	0.2	-1.59	54	0.06	28	-0.4	4	-0.82	
8	103838585	103906092	-1	q22.3	ENSG00000155096	AZIN1	Neutral	0	0.02	0.08	0	0	HET	0.61		17.2	9	-0.85	-1.75	7	-0.85	7	-0.94	0	-1.31	
8	104033291	104085279	1	q22.3	ENSG00000155097	ATP6V1C1	Neutral	0	0.02	0.04	0	0	HET	0.54		9.83	50	0	-1.54	22	-0.46	40	-0.15	46	-0.14	
8	92006024	92053292	-1	q21.3	ENSG00000155099	TMEM55A	Neutral	0	0.02	0.02	0	0	HET	0.51		13.49	81	0.88	1.44	92	2.04	94	1.52	96	1.31	
8	92082424	92099323	1	q21.3	ENSG00000155100	OTUD6B	Neutral	0	0.02	0.03	0	0	HET	0.61		3.68	63	0.3	-1.14	46	-0.08	76	0.49	67	0.52	
6	110931181	111137161	-1	q21	ENSG00000155111	CDK19	Neutral	0	0.01	-0.02	0	0	HET	0.49		5.72	65	0.29	1.06	68	0.38	82	0.77	50	0.04	
6	111279763	111289093	1	q21	ENSG00000155115	GTF3C6	Neutral	0	0.01	-0.02	0	0	HET	0.49		35.86	43	-0.09	-1.16	35	-0.26	59	0.16	58	0.05	
6	114178541	114184648	1	q21	ENSG00000155130	MARCKS	Neutral	0	0.01	0.04	0	0	HET	0.44		51.04			1.23							
9	15170843	15307358	-1	p22.3	ENSG00000155158	TTC39B	Loss	-1	-0.22	-0.21	0	0	HET	0.39		0.99	51	0.02	-1.52	42	-0.14	25	-0.43	54	0.15	
8	6565878	6617184	1	p23.1	ENSG00000155189	AGPAT5	Neutral	0	0.02	0.03	0	0	HET	0.55		5.2	43	-0.13	-1.65	35	-0.23	51	0.02	8	-1.17	
10	99218081	99258551	-1	q24.1	ENSG00000155229	MMS19	Neutral	0	0.02	0.01	0	0	HET	0.49		12.15	57	0.15	1.66	25	-0.46	45	-0.1	12	-0.51	
14	20403767	20404842	1	q11.2	ENSG00000155249	OR4K1	Neutral	0	0.01	0.04	0	0	HET	0.5		0	49		-1.01	48		50		50		
10	99344131	99436191	1	q24.2	ENSG00000155252	PI4K2A	Neutral	0	0.02	0.02	0	0	HET	0.5		13.67	70	0.32	1.9	82	0.88	94	1.08	100	2.55	
10	99472930	99484694	1	q24.2	ENSG00000155254	MARVELD1	Neutral	0	0.02	0.06	0	0	HET	0.45		38.29	80	0.75	3.96	95	1.84	97	1.85	79	0.7	
10	99496878	99520663	1	q24.2	ENSG00000155256	ZFYVE27	Neutral	0	0.02	0.02	0	0	HET	0.57		5.14	27	-0.32	1.06	7	-0.87	16	-0.85	8	-1.59	
4	8560452	8621486	1	p16.1	ENSG00000155269	GPR78	Neutral	0	0.01	0.04	0	0	HET	0.5		3.68	100	inf	1.62	99	268.8	100	inf	100	inf	
4	8437867	8495258	1	p16.1	ENSG00000155275	TRMT44	Neutral	0	0.01	0.07	0	0	HET	0.47		1.72	62	0.21	1.31	58	0.17	57	0.11	8	-0.9	
10	101370282	101380535	-1	q24.2	ENSG00000155287	SLC25A28	Neutral	0	0.02	0.08	0	0	HET	0.51		14.22	31	-0.3	-1.05	43	-0.12	43	-0.13	0	-0.97	
21	15743436	15755805	-1	q11.2	ENSG00000155304	HSPA13	Neutral	0	0.01	0.01	0	0	HET	0.43		15.6	68	0.43	1.06	78	0.73	95	1.41	83	0.82	
21	15857549	15955723	-1	q11.2	ENSG00000155307	SAMSN1	Neutral	0	0.01	0	0	0	HET	0.44		5.24	69	0.48	1.11	73	0.59	75	0.64	100	3.64	
21	17102344	17252377	1	q21.1	ENSG00000155313	USP25	Neutral	0	0.01	0.02	0	0	HET	0.49		7.35	56	0.1	-1.69	53	0.06	26	-0.46	12	-0.59	
5	125695824	125832186	1	q23.2	ENSG00000155324	GRAMD3	Neutral	0	0.01	0.01	0	0	HET	0.57		3.27	44	-0.11	-1.82	24	-0.38	11	-0.53	0	-1.85	
5	132332677	132362296	-1	q31.1	ENSG00000155329	ZCCHC10	Neutral	0	0.01	0	0	0	HET	0.44		6.2	54	0.06	-1.31	55	0.09	63	0.23	8	-0.86	
5	140345820	140391936	1	q31.3	ENSG00000243232	PCDHAC2	Neutral	0	0.01	-0.03	0	0	HET	0.53	up	6.93	99	10.96	2.21	97	8.32	99	14.07	100	25.54	
1	113215763	113243368	1	p13.2	ENSG00000155363	MOV10	Loss	-1	-0.22	-0.21	0	0	HET	0.3		7.79	23	-0.54	1.67	19	-0.55	32	-0.31	8	-0.87	
1	113243728	113250056	-1	p13.2	ENSG00000155366	RHOC	Loss	-1	-0.22	-0.15	0	0	HET	0.6		60.89	7	-0.81	1.64	28	-0.4	34	-0.26	8	-1.7	
1	113245236	113258099	-1	p13.2	ENSG00000155367	PPM1J	Loss	-1	-0.22	-0.14	0	0	HET	0.6		22.41	100	35.63	1.25	100	13.22	100	23.69	100	27.89	
2	120124497	120130126	1	q14.2	ENSG00000155368	DBI	Neutral	0	0.02	0	0	0	HET	0.53		24.77	5	-0.89	-1.47	2	-0.81	3	-1.19	8	-0.72	
1	113454469	113499635	-1	p13.2	ENSG00000155380	SLC16A1	Loss	-1	-0.22	-0.24	0	0	HET	0.6		8.29	17	-0.56	-1.35	41	-0.16	66	0.34	17	-0.91	
16	50099852	50140298	1	q12.1	ENSG00000155393	HEATR3	Loss	-1	-0.21	-0.22	0	0	HET	0.44		2.47	17	-0.62	-1.63	9	-0.85	13	-0.91	25	-0.47	
7	72430016	72439997	-1	q11.23	ENSG00000155428	TRIM74	Neutral	0	0.01	0.05	0	0	HET	0.53		0.11	86	1.29	-1	79	0.95	89	1.69	67	0.27	
2	122484521	122494499	-1	q14.3	ENSG00000155438	NIFK	Neutral	0	0.02	0.02	0	0	HET	0.57		12.76	35	-0.3	-1.07	19	-0.53	65	0.34	4	-1.19	
14	23235731	23241007	1	q11.2	ENSG00000155463	OXA1L	Neutral	0	0.01	0.01	0	0	HET	0.53		38.11	59	0.19	1.44	44	-0.11	54	0.1	21	-0.74	
14	23242431	23299029	-1	q11.2	ENSG00000155465	SLC7A7	Neutral	0	0.01	0.02	0	0	HET	0.5		5.05	34	-0.18	-1.42	46	-0.07	52	0.01	75	0.53	
X	140991680	140997174	1	q27.2	ENSG00000155495	MAGEC1	Gain	1	0.25	0.22	0	0	HET	0.58		0	68	0.56	-1.61	67	0.45	86	inf	79	inf	
5	154092462	154197167	1	q33.2	ENSG00000155506	LARP1	Neutral	0	0.01	0.01	0	0	HET	0.44		16.66	18	-0.58	-1.63	7	-1.01	17	-0.69	0	-1.18	
5	154237113	154256353	1	q33.2	ENSG00000155508	CNOT8	Neutral	0	0.01	0	0	0	HET	0.44		13.68	14	-0.72	-1.49	19	-0.59	21	-0.67	0	-2.15	
5	152869175	153193240	1	q33.2	ENSG00000155511	GRIA1	Neutral	0	0.01	0.01	0	0	HET	0.5		0.08	65	0.32	-2.4	78	1.13	58	0.1	67	0.35	
7	133812052	133949343	1	q33	ENSG00000155530	LRGUK	Neutral	0	0.01	0.02	0	0	HET	0.48		0.06	46	-0.09	-1.3	33	-0.21	40	-0.19	33	-0.25	
5	56205087	56221359	1	q11.2	ENSG00000155542	SETD9	Neutral	0	0.01	0.03	0	0	HET	0.51		1.52	19	-0.5	-1.48	15	-0.64	7	-0.77	4	-2.96	
5	56215429	56267502	-1	q11.2	ENSG00000155545	MIER3	Neutral	0	0.01	0.04	0	0	HET	0.5		5.45	72	0.49	-1.34	68	0.37	64	0.31	38	-0.23	
7	135242667	135333505	1	q33	ENSG00000155561	NUP205	Neutral	0	0.01	0.03	0	0	HET	0.54		7.72	47	-0.06	1.07	29	-0.34	61	0.2	67	0.36	
16	25247322	25269252	-1	p12.1	ENSG00000155592	ZKSCAN2	Neutral	0	0.02	0.04	0	0	HET	0.62		1.48	62	0.24	1.01	64	0.28	72	0.4	29	-0.42	
9	74526426	74600970	1	q21.13	ENSG00000155621	C9orf85	Neutral	0	0.01	0.03	0	0	HET	0.52		2.36	33	-0.23	1	59	0.16	63	0.24	21	-0.45	
X	52112173	52118823	1	p11.22	ENSG00000155622	XAGE2	Neutral	0	0.02	0.03	0	0	HET	0.46		0	36	0	-1	40		31	0	44		
10	98353069	98480271	-1	q24.1	ENSG00000155629	PIK3AP1	Neutral	0	0.02	0.01	0	0	HET	0.51		8.19	84	1.29	-1.29	74	0.65	72	0.48	100	12.88	
2	178977151	179001531	1	q31.2	ENSG00000155636	RBM45	Neutral	0	0.01	0.02	0	0	HET	0.48		3	18	-0.67	-1.11	10	-0.9	24	-0.53	4	-0.74	
10	98741041	98745582	1	q24.1	ENSG00000155640	C10orf12	Neutral	0	0.02	0.04	0	0	HET	0.52		0.93	89	1.21	-1.62	58	0.15	59	0.16	100	4.99	
2	179390716	179695529	-1	q31.2	ENSG00000155657	TTN	Neutral	0	0.01	0.02	0	0	HET	0.5		0.32	88	1.77	-26.58	87	1.42	79	0.88	96	3.15	
X	65241580	65259967	-1	q12	ENSG00000155659	VSIG4	Neutral	0	0.02	0.01	0	0	HET	0.51		55.93	78	0.87	2.86	96	4.32	86	3.16	100	21.41	
7	148700154	148725733	-1	q36.1	ENSG00000155660	PDIA4	Neutral	0	0.01	0.03	0	0	HET	0.46		49.42	28	-0.29	-1.37	19	-0.53	47	-0.06	38	-0.4	
16	27214807	27233089	1	p12.1	ENSG00000155666	KDM8	Neutral	0	0.02	0.05	0	0	HET	0.56		1.55	54	0.08	-1.1	50	0	43	-0.11	0	-1.46	putative tumour suppressor
16	21995186	22012433	-1	p12.2	ENSG00000155714	PDZD9	Neutral	0	0.02	0.07	0	0	HET	0.53		0.11	39	-0.09	-1.54	33	-0.19	20	-0.49	0	-0.76	
16	21689835	21772050	1	p12.2	ENSG00000155719	OTOA	Neutral	0	0.02	0.01	0	0	HET	0.51		0.07	12	-0.6	1.02	30	-0.29	49	-0.01	71	0.33	
2	201353675	201384507	-1	q33.1	ENSG00000155729	KCTD18	Neutral	0	0.01	0.04	0	0	HET	0.43		4.25	76	0.57	-1.05	64	0.26	50	0.01	50	0	
2	201843216	201936394	-1	q33.1	ENSG00000155744	FAM126B	Neutral	0	0.01	-0.03	0	0	HET	0.51		1.64	79	0.69	-1.17	38	-0.21	22	-0.61	46	-0.03	
2	202152994	202222121	-1	q33.1	ENSG00000155749	ALS2CR12	Neutral	0	0.01	-0.01	0	0	HET	0.48		0.17	84	1.09	-1.77	80	0.96	66	0.4	75	0.96	
2	202352148	202483901	-1	q33.1	ENSG00000155754	ALS2CR11	Neutral	0	0.01	-0.01	0	0	HET	0.52		0.1	29	-0.4	-1.93	63	0.25	71	0.42	96	1.64	
2	202484907	202508293	-1	q33.1	ENSG00000155755	TMEM237	Neutral	0	0.01	0	0	0	HET	0.52		3.1	14	-0.57	-1.07	30	-0.32	29	-0.35	4	-0.92	
2	202899310	202903160	1	q33.1	ENSG00000155760	FZD7	Neutral	0	0.01	0.01	0	0	HET	0.41		30.04	79	0.81	2.49	94	3.03	89	2.34	92	1.37	
1	118496484	118727846	-1	p12	ENSG00000155761	SPAG17	Loss	-1	-0.22	-0.21	0	0	HET	0.35		0.16	66	0.3	-1.7	47	-0.03	38	-0.19	38	-0.07	
8	120885957	121063152	1	q24.12	ENSG00000155792	DEPTOR	Neutral	0	0.02	0.01	0	0	HET	0.49		15.19	91	1.59	-1.45	79	0.77	52	0.08	50	0.11	
1	240177648	240638489	1	q43	ENSG00000155816	FMN2	Loss	-1	-0.22	-0.21	0	0	HET	0.42		0.37	85	1.84	-1.64	82	2.36	75	0.84	25	-0.58	
9	104296133	104325622	1	q31.1	ENSG00000155827	RNF20	Neutral	0	0.02	0.04	0	0	HET	0.51		15.9	59	0.18	-1.15	61	0.21	58	0.13	38	-0.32	
9	105757593	105780770	1	q31.1	ENSG00000155833	CYLC2	Neutral	0	0.02	0.01	0	0	HET	0.53		0	48		-1.86	47		49		50		
5	149109861	149234585	1	q32	ENSG00000155846	PPARGC1B	Neutral	0	0.01	0.02	0	0	HET	0.51		2.11	98	7.36	1.44	95	3.56	94	3.01	100	13.84	
7	36893961	37488852	-1	p14.1	ENSG00000155849	ELMO1	Neutral	0	0.01	0.02	0	0	HET	0.5		5.48	43	-0.12	-1.06	58	0.15	54	0.08	54	0.04	
5	149340300	149373018	1	q32	ENSG00000155850	SLC26A2	Neutral	0	0.01	0.03	0	0	HET	0.56		4.08	63	0.32	-1.43	60	0.2	40	-0.2	38	-0.3	
5	157170703	157187717	1	q33.3	ENSG00000155858	LSM11	Neutral	0	0.01	0.08	0	0	HET	0.44		3.22	65	0.33	1.13	96	2.08	95	2.33	71	0.41	
5	156564423	156586030	-1	q33.3	ENSG00000155868	MED7	Neutral	0	0.01	0.04	0	0	HET	0.49		4.9	24	-0.49	-1.05	26	-0.44	18	-0.69	0	-1.74	
9	18927656	19033251	-1	p22.1	ENSG00000155875	SAXO1	Neutral	0	0.01	0.04	0	0	HET	0.51		0.01	47	-0.03	-1.74	48	-0.02	35	-0.19	42	-0.08	
9	19049372	19051019	1	p22.1	ENSG00000155876	RRAGA	Neutral	0	0.01	0.02	0	0	HET	0.55		65.39	61	0.28	1.35	78	0.61	72	0.35	4	-1.58	
9	19515978	19786926	-1	p22.1	ENSG00000155886	SLC24A2	Neutral	0	0.01	0.02	0	0	HET	0.52		0.16	91	4.46	-2.59	80	1.51	96	8.27	71	0.71	
3	140396881	140419992	1	q23	ENSG00000155890	TRIM42	Neutral	0	0.01	0.01	0	0	HET	0.46		0	43		-1.35	45		45		48		
3	140947568	141013748	1	q23	ENSG00000155893	PXYLP1	Neutral	0	0.01	0.06	0	0	HET	0.5		2.87	17	-0.52	1.19	21	-0.47	33	-0.23	0	-1.38	
8	131792547	132054672	-1	q24.22	ENSG00000155897	ADCY8	Neutral	0	0.02	0.03	0	0	HET	0.5		0	26	-0.07	-1.4	47	-0.02	27	-0.15	38	-0.21	
3	141205889	141334184	1	q23	ENSG00000155903	RASA2	Neutral	0	0.01	0	0	0	HET	0.49		3.71	99	2.12	-1.43	86	0.98	88	1.27	100	2.74	putative tumour suppressor
6	151725989	151773259	-1	q25.1	ENSG00000155906	RMND1	Neutral	0	0.01	0.01	0	0	HET	0.52		5.56	16	-0.66	-1.24	20	-0.43	27	-0.35	0	-1.14	
6	150339470	150346668	-1	q25.1	ENSG00000155918	RAET1L	Neutral	0	0.01	0.02	0	0	HET	0.52		0	32	0	-1.01	21	-0.1	23	-0.19	42		
8	134048973	134115298	-1	q24.22	ENSG00000155926	SLA	Neutral	0	0.02	0.01	0	0	HET	0.5		2.47	43	-0.12	-2.21	44	-0.1	51	0.02	83	0.68	
12	66517709	66563852	-1	q14.3	ENSG00000155957	TMBIM4	Neutral	0	0.01	0.04	0	0	HET	0.56		12.73	16	-0.64	-1.63	11	-0.69	3	-1.26	0	-2.46	
5	140514800	140517703	1	q31.3	ENSG00000113209	PCDHB5	Neutral	0	0.01	-0.01	0	0	HET	0.5	up	8.39	85	2.16	3.15	88	2.61	99	2.45	100	1.96	
X	154487526	154493874	-1	q28	ENSG00000155961	RAB39B	Gain	1	0.25	0.22	0	0	HET	0.62		0.47	57	0.11	-1.94	50	0	46	-0.06	62	0.56	
X	154505500	154563966	-1	q28	ENSG00000155962	CLIC2	Gain	1	0.25	0.21	0	0	HET	0.62		16.24	81	0.86	1.04	92	2.5	76	0.82	71	0.47	
X	147582139	148082193	1	q28	ENSG00000155966	AFF2	Gain	1	0.25	0.24	0	0	HET	0.37		0.16	60	0.14	-1.41	57	0.11	58	0.17	62	0.29	
8	16884747	16980153	1	p22	ENSG00000155970	MICU3	Neutral	0	0.02	0.03	0	0	HET	0.47		1.72	72	0.47	-2	79	0.88	53	0.05	17	-1.17	
12	66741211	67197966	-1	q14.3	ENSG00000155974	GRIP1	Neutral	0	0.01	0.01	0	0	HET	0.49		0.37	65	0.37	-1.28	31	-0.31	29	-0.45	21	-0.64	
8	17104080	17159936	1	p22	ENSG00000155975	VPS37A	Neutral	0	0.02	0.02	0	0	HET	0.5		7.22	53	0.03	-1.15	56	0.11	42	-0.16	38	-0.19	
12	57943781	57980415	1	q13.3	ENSG00000155980	KIF5A	Neutral	0	0.01	0.04	0	0	HET	0.39		0.97	92	7.33	-8.26	83	3.1	92	1.99	96	1.13	
X	148678216	148713568	-1	q28	ENSG00000155984	TMEM185A	Gain	1	0.25	0.29	0	0	HET	0.31		1.74			1.22							
8	18248755	18258728	1	p22	ENSG00000156006	NAT2	Neutral	0	0.02	0.04	0	0	HET	0.52		0.13	71	0.53	-3.15	66	0.35	43	-0.06	17	-0.53	
X	149009941	149014609	1	q28	ENSG00000156009	MAGEA8	Gain	1	0.25	0.41	0	0	HET	0.39		0.01	24	-0.39	-1.07	21	-0.34	23	-0.41	23	-0.4	
8	18384811	18942240	-1	p22	ENSG00000156011	PSD3	Neutral	0	0.02	0.03	0	0	HET	0.48		1.47	23	-0.41	-2.35	35	-0.22	27	-0.37	21	-0.62	
9	77595936	77643339	-1	q21.13	ENSG00000156017	C9orf41	Neutral	0	0.01	0.03	0	0	HET	0.48		2.47	78	0.57	-1.85	43	-0.12	32	-0.29	83	1.14	
5	140552243	140555957	1	q31.3	ENSG00000113212	PCDHB7	Neutral	0	0.01	-0.01	0	0	HET	0.69	up	7.82	90	2.17	4.17	98	8.4	100	6.44	96	1.9	
14	74181825	74256988	-1	q24.3	ENSG00000156030	ELMSAN1	Neutral	0	0.02	0.02	0	0	HET	0.49		4.14	46	-0.07	-1.16	39	-0.2	23	-0.5	8	-1.06	
10	75013517	75119452	-1	q22.2	ENSG00000156042	CFAP70	Neutral	0	0.02	0	0	0	HET	0.47		0.7	97	3.39	-1.29	71	0.54	56	0.14	46	-0.09	
21	41239243	41301322	1	q22.2	ENSG00000183036	PCP4	Neutral	0	0.01	0.02	0	0	HET	0.5	up	271.23	91	17.95	8.46	99	37.57	97	6.96	100	7.68	
14	74398204	74417117	-1	q24.3	ENSG00000156050	FAM161B	Neutral	0	0.02	0.01	0	0	HET	0.52		6.93	82	0.97	-1.09	72	0.54	51	0.05	50	-0.02	
9	80331003	80646374	-1	q21.2	ENSG00000156052	GNAQ	Neutral	0	0.02	0.02	0	0	HET	0.49		19.23	81	0.73	-1.32	78	0.64	56	0.1	75	0.54	oncogene
12	65444406	65515346	-1	q14.3	ENSG00000156076	WIF1	Neutral	0	0.01	-0.01	0	0	HET	0.47		1	82	4.06	-1.75	82	2.47	58	0.05	58	0.07	putative tumour suppressor
4	70345883	70391732	-1	q13.2	ENSG00000156096	UGT2B4	Neutral	0	0.01	0.02	0	0	HET	0.46		0.07	83	2.64	-21.65	82	2.36	63	0.26	92	inf	
1	110082494	110091028	1	p13.3	ENSG00000156097	GPR61	Loss	-1	-0.22	-0.21	0	0	HET	0.7		0.02	43	-0.11	-1.15	46	-0.05	54	0.07	50	-0.1	
